Country,Year,Financial_Year_Label,Petroleum_Consumption_MT_Million,Petroleum_Growth_Pct,NaturalGas_Consumption_BCM,NaturalGas_Growth_Pct
India,1960,FY 1960 (Apr-Mar),7.1,0.0,0.0,0.0
India,1970,FY 1970 (Apr-Mar),19.14,17.35,0.0,0.0
India,1980,FY 1980 (Apr-Mar),32.26,3.0,0.0,0.0
India,1990,FY 1990 (Apr-Mar),57.75,1.71,0.0,0.0
India,2000,FY 2000 (Apr-Mar),100.07,3.07,0.0,0.0
India,2010,FY 2010 (Apr-Mar),141.04,2.35,0.0,0.0
India,2011,FY 2011 (Apr-Mar),148.13,5.03,0.0,0.0
India,2012,FY 2012 (Apr-Mar),157.06,6.02,57.37,-10.99
India,2013,FY 2013 (Apr-Mar),158.41,1.39,51.83,-9.33
India,2014,FY 2014 (Apr-Mar),165.52,4.49,50.3,-2.94
India,2015,FY 2015 (Apr-Mar),184.67,11.57,50.18,-0.24
India,2016,FY 2016 (Apr-Mar),194.6,5.37,54.41,8.43
India,2017,FY 2017 (Apr-Mar),206.17,5.94,58.47,7.45
India,2018,FY 2018 (Apr-Mar),213.22,3.42,60.6,3.66
India,2019,FY 2019 (Apr-Mar),214.13,0.43,62.61,3.31
India,2020,FY 2020 (Apr-Mar),194.3,-9.26,60.98,-2.6
India,2021,FY 2021 (Apr-Mar),201.7,3.81,64.16,5.21
India,2022,FY 2022 (Apr-Mar),223.02,10.57,59.97,-6.53
India,2023,FY 2023 (Apr-Mar),234.26,5.04,67.51,12.58
